Date : 2025-03-01 12:22:02
Directory : c:\Users\J4yJ3ff\Desktop\grace
Total : 90 files,  15057 codes, 60 comments, 504 blanks, all 15621 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\api\webhooks\stripe\route.ts                         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Categories.ts                            | TypeScript         |         26 |          1 |          3 |         30 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Media.ts                                 | TypeScript         |         27 |          1 |          3 |         31 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Orders.ts                                | TypeScript         |         80 |          2 |          5 |         87 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Posts.ts                                 | TypeScript         |         62 |          1 |          3 |         66 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\ProductFile.ts                           | TypeScript         |        112 |          4 |         14 |        130 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Products.ts                              | TypeScript         |        187 |         17 |         19 |        223 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Users.ts                                 | TypeScript         |        101 |          0 |          4 |        105 |
| c:\Users\J4yJ3ff\Desktop\grace\src\app\globals.css                                          | CSS                |         79 |          0 |          4 |         83 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\BrandsSection.tsx                             | TypeScript JSX     |         60 |          0 |          3 |         63 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ContactSection.tsx                            | TypeScript JSX     |         72 |          0 |          4 |         76 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\Header.tsx                                    | TypeScript JSX     |         79 |          0 |          6 |         85 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\Hero-section.tsx                              | TypeScript JSX     |         49 |          1 |          3 |         53 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\NewsletterSection.tsx                         | TypeScript JSX     |         81 |          0 |          9 |         90 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ServiceSection.tsx                            | TypeScript JSX     |         65 |          0 |          3 |         68 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\TestimonialSection.tsx                        | TypeScript JSX     |         55 |          0 |          3 |         58 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\WorkSection.tsx                               | TypeScript JSX     |         75 |          0 |          3 |         78 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\emails\PrimaryActionEmail.tsx                 | TypeScript JSX     |        115 |          0 |         13 |        128 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\emails\ReceiptEmail.tsx                       | TypeScript JSX     |        195 |          0 |         31 |        226 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\store\Cart.tsx                                | TypeScript JSX     |        137 |          0 |         14 |        151 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\store\ProductCard.tsx                         | TypeScript JSX     |         69 |          0 |          9 |         78 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\store\ProductList.tsx                         | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\button.tsx                                 | TypeScript JSX     |         52 |          0 |          6 |         58 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\form.tsx                                   | TypeScript JSX     |        153 |          0 |         26 |        179 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\input.tsx                                  | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\label.tsx                                  | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\sheet.tsx                                  | TypeScript JSX     |        125 |          0 |         16 |        141 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\sonner.tsx                                 | TypeScript JSX     |         26 |          0 |          6 |         32 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\textarea.tsx                               | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\J4yJ3ff\Desktop\grace\src\components\watermark.tsx                                 | TypeScript JSX     |         36 |          0 |          3 |         39 |
| c:\Users\J4yJ3ff\Desktop\grace\src\hooks\useCartStore.ts                                    | TypeScript         |         93 |          0 |         15 |        108 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Newsletter.action.ts                         | TypeScript         |         54 |          3 |         14 |         71 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Posts.action.ts                              | TypeScript         |         24 |          1 |          4 |         29 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Products.actions.ts                          | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Stripe.action.ts                             | TypeScript         |         91 |          7 |         22 |        120 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\SubmitForm.action.ts                         | TypeScript         |         32 |          0 |          8 |         40 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Users.action.ts                              | TypeScript         |         89 |          1 |         19 |        109 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\payload.ts                                           | TypeScript         |         39 |          0 |          8 |         47 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\stripe.ts                                            | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\J4yJ3ff\Desktop\grace\src\lib\utils.ts                                             | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\J4yJ3ff\Desktop\grace\tailwind.config.ts                                           | TypeScript         |         61 |          0 |          2 |         63 |
| c:\Users\J4yJ3ff\Desktop\grace\tsconfig.json                                                | JSON with Comments |         34 |          0 |          1 |         35 |
| Total                                                                                       |                    |     15,057 |         60 |        504 |     15,621 |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
