"filename", "language", "TypeScript", "XML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "CSS", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(payload)\api\graphql-playground\route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(payload)\api\graphql\route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(payload)\custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(payload)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 2, 6, 32
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\(home)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\account\downloads\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 3, 8, 116
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\account\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 94, 0, 1, 8, 103
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 9, 92
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 9, 98
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 9, 94
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 4, 52
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\store\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\J4yJ3ff\Desktop\grace\src\app\(root)\thank-you\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 14, 101
"c:\Users\J4yJ3ff\Desktop\grace\src\app\api\webhooks\stripe\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Categories.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Media.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Orders.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 87
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Posts.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 66
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\ProductFile.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 130
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Products.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 223
"c:\Users\J4yJ3ff\Desktop\grace\src\app\collections\Users.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 105
"c:\Users\J4yJ3ff\Desktop\grace\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 4, 83
"c:\Users\J4yJ3ff\Desktop\grace\src\components\BrandsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ContactSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 4, 76
"c:\Users\J4yJ3ff\Desktop\grace\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 6, 85
"c:\Users\J4yJ3ff\Desktop\grace\src\components\Hero-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 3, 53
"c:\Users\J4yJ3ff\Desktop\grace\src\components\NewsletterSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 9, 90
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ServiceSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 3, 68
"c:\Users\J4yJ3ff\Desktop\grace\src\components\TestimonialSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 3, 58
"c:\Users\J4yJ3ff\Desktop\grace\src\components\WorkSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 3, 78
"c:\Users\J4yJ3ff\Desktop\grace\src\components\emails\PrimaryActionEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 13, 128
"c:\Users\J4yJ3ff\Desktop\grace\src\components\emails\ReceiptEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 31, 226
"c:\Users\J4yJ3ff\Desktop\grace\src\components\store\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 14, 151
"c:\Users\J4yJ3ff\Desktop\grace\src\components\store\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 9, 78
"c:\Users\J4yJ3ff\Desktop\grace\src\components\store\ProductList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 26, 179
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 16, 141
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
